,filename_left,filename_right
9922772,ATL04_20210624112925_00131201_006_01.h5,MOD06_L2.A2021174.0455.061.2021268233036.hdf
9923392,ATL04_20210618122903_13091101_006_01.h5,MOD06_L2.A2021173.0550.061.2021268232311.hdf
9924149,ATL04_20210620131202_13401101_006_01.h5,MOD06_L2.A2021172.0650.061.2021268232203.hdf
9924400,ATL04_20210619133741_13251101_006_01.h5,MOD06_L2.A2021175.0720.061.2021268234031.hdf
9924793,ATL04_20210622135501_13711101_006_01.h5,MOD06_L2.A2021171.0745.061.2021268231756.hdf
9925382,ATL04_20210623150339_13871101_006_01.h5,MOD06_L2.A2021175.0900.061.2021268234349.hdf
9926797,ATL04_20210620162037_13421101_006_01.h5,MOD06_L2.A2021174.1000.061.2021268233532.hdf
9933840,ATL04_20210619164616_13271101_006_01.h5,MOD06_L2.A2021174.0855.061.2021268232016.hdf
9937428,ATL04_20210621155458_13571101_006_01.h5,MOD06_L2.A2021171.1825.061.2021268230231.hdf
9939653,ATL04_20210624161217_00161201_006_01.h5,MOD06_L2.A2021171.1335.061.2021268230100.hdf
9941697,ATL04_20210623163757_00011201_006_01.h5,MOD06_L2.A2021172.1245.061.2021268230736.hdf
9943538,ATL04_20210622170336_13731101_006_01.h5,MOD06_L2.A2021173.2250.061.2021268233803.hdf
9945074,ATL04_20210618061153_13051101_006_01.h5,MOD06_L2.A2021169.1225.061.2021268225110.hdf
9957089,ATL04_20210618012901_13021101_006_01.h5,MOD06_L2.A2021171.0245.061.2021268230911.hdf
9957415,ATL04_20210621014621_13481101_006_01.h5,MOD06_L2.A2021173.0235.061.2021268232514.hdf
9958341,ATL04_20210621032039_13491101_006_01.h5,MOD06_L2.A2021170.0205.061.2021268230436.hdf
9959477,ATL04_20210619054614_13201101_006_01.h5,MOD06_L2.A2021173.0055.061.2021268232652.hdf
9959516,ATL04_20210623053755_13811101_006_01.h5,MOD06_L2.A2021171.0105.061.2021268231052.hdf
